,0,1,2,3
0,KB국민카드 최대 8% 청구할인,2018.06.16 ~ 2018.06.30,http://image.ssgdfm.com/images/shop/upload/231/78414640x280.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=18017
1,KT멤버십으로할인 받는 방법,2018.06.01 ~ 2018.06.30,http://image.ssgdfm.com/images/shop/upload/414/73468KM%EC%9D%B4%EB%B2%A4%ED%8A%B8%EA%B8%B0%EB%B3%B8%EB%B0%B0%EB%84%88_640x280.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=17510
2,단 하루!! 구매금액의 최대 35% 할인혜택 ,2018.06.19 ~ 2018.06.19,http://image.ssgdfm.com/images/shop/upload/231/63650640x280.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=18254
3,Welcome to 신세계!  신규고객님께 드려요!,2018.06.01 ~ 2018.06.30,http://image.ssgdfm.com/images/shop/upload/231/42446640x280.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=17826
4,미리여름 필수템  3대 카테고리,2018.06.07 ~ 2018.06.30,http://image.ssgdfm.com/images/shop/upload/231/11413640x280.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=17813
5,KT 멤버십 회원 시선집중 혜택 대방출,2018.01.19 ~ 2018.12.31,http://image.ssgdfm.com/images/shop/upload/231/52885640x280.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=15820
6,6월 특별혜택 모음 한눈에 보기!,2018.06.01 ~ 2018.06.30,http://image.ssgdfm.com/images/shop/upload/930/36743km_640x280.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=17863
7,G마켓 회원 전용 더블혜택증정!,2018.04.30 ~ 2018.12.31,http://image.ssgdfm.com/images/shop/upload/965/28140km_640x280_%EC%9D%B4%EB%B2%A4%ED%8A%B8%EA%B8%B0%EB%B3%B8.png,http://www.ssgdfm.com/shop/promotion/detailEventClass07?eventId=16450
8,일본 출국한다면포켓와이파이 응모!,2018.06.11 ~ 2018.06.30,http://image.ssgdfm.com/images/shop/upload/231/21496640x280.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=17822
9,신용카드포인트 혜택,2018.06.01 ~ 2018.06.30,http://image.ssgdfm.com/images/shop/upload/930/39377km_640x280.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=18027
10,6월의 신용카드 무이자 할부 행사 총집합,2018.06.01 ~ 2018.06.30,http://image.ssgdfm.com/images/shop/upload/654/21459640x280_.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=17948
11,함께해요 면세친구★ 친구들 다 불러볼까요?,2018.06.01 ~ 2018.06.30,http://image.ssgdfm.com/images/shop/upload/231/56569640x280.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=17864
12,신세계포인트 카드 적립금 최대 1만원 ,2018.06.01 ~ 2018.06.30,http://image.ssgdfm.com/images/shop/upload/099/6518313958640x280.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=15628
13,100% 페이백 최대 30만원 혜택,2018.06.01 ~ 2018.06.30,http://image.ssgdfm.com/images/shop/upload/231/67399640x280.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=14809
14,출국정보 입력하고공항철도 할인받자!,2018.06.01 ~ 2018.07.31,http://image.ssgdfm.com/images/shop/upload/896/40446640x280_%EC%9D%B4%EB%B2%A4%ED%8A%B8%EA%B8%B0%EB%B3%B8.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=17898
15,"오늘의 적립금 30,000원 입니다",2018.04.01 ~ 2018.06.30,http://image.ssgdfm.com/images/shop/upload/231/82300640x280.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=15316
16,오프라인 구매 인증 적립금 1만원 증정,2018.06.01 ~ 2018.07.31,http://image.ssgdfm.com/images/shop/upload/896/54698640x280_%EC%9D%B4%EB%B2%A4%ED%8A%B8%EA%B8%B0%EB%B3%B8.png,http://www.ssgdfm.com/shop/promotion/detailEventClass07?eventId=17934
17,"오프라인 혜택 최대 45,000원 증정",2018.06.01 ~ 2018.06.30,http://image.ssgdfm.com/images/shop/upload/231/29646640x280.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=17825
18,와이파이도시락할인혜택,2018.05.01 ~ 2018.06.30,http://image.ssgdfm.com/images/shop/upload/231/83121640x280.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=17458
19,좋은 것 같이 사자!상품평 적립금,2016.10.05 ~ 2018.12.31,http://image.ssgdfm.com/images/shop/upload/231/24500640x280.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=00127
20,신세계이마트 e카드 적립금 1만원,2018.06.01 ~ 2018.06.30,http://image.ssgdfm.com/images/shop/upload/205/46806640x280_emart_170201.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=17882
21,유플러스멤버십 고객님께 드리는 혜택,2018.03.28 ~ 2018.08.31,http://image.ssgdfm.com/images/shop/upload/896/23291640x280_%EC%9D%B4%EB%B2%A4%ED%8A%B8%EA%B8%B0%EB%B3%B8.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=16877
22,"모바일APP 첫만남최대 11,000원 증정",2018.01.01 ~ 2018.06.30,http://image.ssgdfm.com/images/shop/upload/231/17358640x280.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=15197
23,신세계 임직원 전용최대 20% 할인혜택,2018.03.15 ~ 2018.12.31,http://image.ssgdfm.com/images/shop/upload/231/65576640x280.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=16852
24,"미래의 나에게 보내는 적립금 20,000원",2018.01.17 ~ 2018.06.30,http://image.ssgdfm.com/images/shop/upload/231/33100640x280.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=15913
25,호텔스 컴바인최대10% 페이백,2016.10.05 ~ 2026.04.30,http://image.ssgdfm.com/images/shop/upload/780/54785640x280_hotelscombined_170201.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=06044
26,씨티카드 특별 혜택무이자 + 5% 혜택,2017.10.13 ~ 2018.06.30,http://image.ssgdfm.com/images/shop/upload/231/28749640x280.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=14542
27,해외여행보험30% 저렴하게 가입하자,2017.12.14 ~ 2018.12.31,http://image.ssgdfm.com/images/shop/upload/231/86058640x280.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=15404
28,100% 무료해외여행 생생 REAL 후기 &gt;&gt;,2017.04.13 ~ 2018.12.31,http://image.ssgdfm.com/images/shop/upload/231/68375640x280.png,http://www.ssgdfm.com/shop/promotion/detailEventClass02?eventId=11176
29,해피머니/모바일팝결제 꿀~ TIP!,2016.10.05 ~ 2018.06.30,http://image.ssgdfm.com/images/shop/upload/584/60222%ED%95%B4%ED%94%BC%EB%A8%B8%EB%8B%88_640x280.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=06932
30,신세계상품권결제 방법,2017.05.25 ~ 2026.12.31,http://image.ssgdfm.com/images/shop/upload/231/77955640x280.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=11871
